correo,tipo_segmento,identificador_o_dominio,empresa_o_razon_social,provincia,ciudad
iafreisa@hotmail.com,Supercias ACTIVA con RUC,0992153393001,AFREISA S.A.,GUAYAS,GUAYAQUIL
iagc@hotmail.com,Supercias ACTIVA con RUC,0992787007001,FERREMAX S.A.,GUAYAS,GUAYAQUIL
iaguirre@copor.com.ec,Supercias ACTIVA con RUC,0790092775001,NAVIERA DEL SUR S.A. NAVISUR,GUAYAS,GUAYAQUIL
ialvarez@insightaud.com,Supercias ACTIVA con RUC,0992931094001,INSIGHT AUDIT SUPPORT INSIGHTAUD CIA.LTDA.,GUAYAS,GUAYAQUIL
ialvarez@quadetech.com,Supercias ACTIVA con RUC,0992870842001,ENSAMBLADORA Y DISTRIBUIDORA DE TECNOLOGIA S.A. ENDITEC,GUAYAS,GUAYAQUIL
iamsarusso@yahoo.com,Supercias ACTIVA con RUC,0990394172001,INMOBILIARIA AURELIA MARIA SA,GUAYAS,GUAYAQUIL
ian@universalcargoecuador.com,Supercias ACTIVA con RUC,0992449462001,UNIMODAL S.A.,GUAYAS,GUAYAQUIL
iarias@palmisa.com,Supercias ACTIVA con RUC,0990351805001,HETA S.A.,GUAYAS,GUAYAQUIL
iarreaga@pacificoriente.com.ec,Supercias ACTIVA con RUC,0992415568001,PACIFICORIENTE ENERGY S.A.,GUAYAS,GUAYAQUIL
ibalseca.tubytek@gmail.com,Supercias ACTIVA con RUC,0992455586001,TUBYTEK S.A.,GUAYAS,GUAYAQUIL
ibepsamag@outlook.com,Supercias ACTIVA con RUC,0992892110001,INDUSTRIA BINACIONAL ECUADOR PERU IBEP S.A.,GUAYAS,SANTA LUCIA
iberfoodsa@gmail.com,Supercias ACTIVA con RUC,0992867183001,IBERIA FOOD S.A. IBEFOODSA,GUAYAS,GUAYAQUIL
ibo@grupoibo.com,Supercias ACTIVA con RUC,0992142324001,IBO S.A.,GUAYAS,ELOY ALFARO (DURAN)
ibrambilla@proingur.com,Supercias ACTIVA con RUC,0992244615001,PROINGUR S.A.,GUAYAS,GUAYAQUIL
ibruconst_s.a@hotmail.com,Supercias ACTIVA con RUC,0992913800001,IBRUCONST S.A.,GUAYAS,GUAYAQUIL
ica_farfan@hotmail.com,Supercias ACTIVA con RUC,0990168768001,INVERSIONES GERMANIA SA,GUAYAS,GUAYAQUIL
icaamano2@gmail.com,Supercias ACTIVA con RUC,0992494565001,AGLAR S.A.,GUAYAS,GUAYAQUIL
icalderon@inproel.com,Supercias ACTIVA con RUC,0991220518001,MARIANC S.A.,GUAYAS,GUAYAQUIL
icarrillo@salicadelecuador.com.ec,Supercias ACTIVA con RUC,0992236515001,ECUANAUTICA S.A.,GUAYAS,POSORJA
icastro1977@hotmail.es,Supercias ACTIVA con RUC,0992412348001,PLUSCOMPANY S.A.,GUAYAS,GUAYAQUIL
icca@gye.satnet.net,Supercias ACTIVA con RUC,0990719861001,INTERANDI DE CONSTRUCCIONES CA,GUAYAS,GUAYAQUIL
icecorp_sa@hotmail.com,Supercias ACTIVA con RUC,0991103252001,ILGNER S.A.,GUAYAS,GUAYAQUIL
icecorp_sa@yahoo.com,Supercias ACTIVA con RUC,0990140766001,ICECORP S.A.,GUAYAS,GUAYAQUIL
icela@ecuanova.com,Supercias ACTIVA con RUC,0990373159001,INMOBILIARIA RONQUILLO BAQUERIZO SA,GUAYAS,GUAYAQUIL
icengicia@gmail.com,Supercias ACTIVA con RUC,0992881895001,''ICENGI'' ''INGENIERIA INSTRUMENTACION Y CONTROL'' CIA.LTDA.,GUAYAS,GUAYAQUIL
ichiriboga@nobis.com.ec,Supercias ACTIVA con RUC,0991413243001,HACIENDA SAN RAFAEL (H.S.R.) S.A.S.,GUAYAS,GENERAL ANTONIO ELIZALDE (BUCAY)
ichiriboga@tropack.com.ec,Supercias ACTIVA con RUC,0992708581001,TROPICAL PACKING ECUADOR S.A. TROPACK,GUAYAS,SAN JACINTO DE YAGUACHI
iconmode@hotmail.com,Supercias ACTIVA con RUC,0992805218001,ICONMODE S.A.,GUAYAS,GUAYAQUIL
ida.vargas@iss-shipping.com,Supercias ACTIVA con RUC,0991168273001,INCHCAPE SHIPPING SERVICES S.A. I.S.S. (GRUPO),GUAYAS,GUAYAQUIL
idakiev_s.a@hotmail.com,Supercias ACTIVA con RUC,0992859334001,IDAKIEV S. A.,GUAYAS,GUAYAQUIL
idanielfranco@gmail.com,Supercias ACTIVA con RUC,0992948124001,FRANCO&BLANCO S.A.,GUAYAS,GUAYAQUIL
ideasempresariales19@gmail.com,Supercias ACTIVA con RUC,1792469295001,IDEAS EMPRESARIALES S.A. IDEASEM,GUAYAS,GUAYAQUIL
ideastecnology@gmail.com,Supercias ACTIVA con RUC,0992761512001,IDETEC CIA. LTDA.,GUAYAS,GUAYAQUIL
ideo.formas@hotmail.com,Supercias ACTIVA con RUC,0992846666001,IDEO FORMAS S.A. IDEFORMASA,GUAYAS,GUAYAQUIL
idilloncarrillo@gmail.com,Supercias ACTIVA con RUC,0992939176001,DISTRIBUIDORA ODIVET S.A.,CHIMBORAZO,RIOBAMBA
iehsa@iclaro.com.ec,Supercias ACTIVA con RUC,0990010595001,IEHSA INDUSTRIA DE ENVASES LITOGRAFIADOS DE HOJALATA C LTDA,GUAYAS,GUAYAQUIL
iemescalante@gmail.com,Supercias ACTIVA con RUC,0992735880001,LIBANORI S.A.,GUAYAS,GUAYAQUIL
iespinoza@wens.com.ec,Supercias ACTIVA con RUC,0992736887001,"''WENS CONSULTING & AUDITING, WHIMPPER NARVAEZ S.A.''",GUAYAS,GUAYAQUIL
ifiallos@lmlconsultores.com.ec,Supercias ACTIVA con RUC,0992750731001,LML CONSULTORES - LIGIMA S.A.,GUAYAS,DAULE
igamboa@telconet.ec,Supercias ACTIVA con RUC,0992623365001,INMOFRYSA S.A.,GUAYAS,GUAYAQUIL
igb.ecuador@outlook.com,Supercias ACTIVA con RUC,0992876417001,INDUSTRIAL GLOBAL-BLUE S.A.,MANABI,MANTA
ignacio_gastezzi@hotmail.com,Supercias ACTIVA con RUC,0992905328001,GRANJA IZZETSAG CIA. LTDA.,GUAYAS,ELOY ALFARO (DURAN)
ignaciobarzola75@hotmail.com,Supercias ACTIVA con RUC,0992311274001,TECVAL S.A.,GUAYAS,GUAYAQUIL
ignaciomedinacastro@gmail.com,Supercias ACTIVA con RUC,0992404728001,GRIFENCORP S.A.,GUAYAS,GUAYAQUIL
igranollers@hotmail.com,Supercias ACTIVA con RUC,0990259909001,INMOBILIARIA GRANOLLERS SA,GUAYAS,GUAYAQUIL
iht1981@hotmail.com,Supercias ACTIVA con RUC,0992703644001,GOLDENNET S. A.,GUAYAS,GUAYAQUIL
iimr4@hotmail.com,Supercias ACTIVA con RUC,0992680628001,EMOTION REPRESENTACIONES S.A. EMÒPRESA,GUAYAS,GUAYAQUIL
ijmarcos@hotmail.com,Supercias ACTIVA con RUC,0992588780001,MACILIUS S.A.,GUAYAS,GUAYAQUIL
ikakremsa@gmail.com,Supercias ACTIVA con RUC,0992820632001,IKAKREM S.A,GUAYAS,GUAYAQUIL
ikun7@hotmail.com,Supercias ACTIVA con RUC,0992863277001,PARDALIS S.A.,GUAYAS,GUAYAQUIL
ilabrel@hotmail.com,Supercias ACTIVA con RUC,0992448253001,FERANSA S.A.,GUAYAS,GUAYAQUIL
ilamat@acguayaquil.com,Supercias ACTIVA con RUC,0993087300001,AUDITORES Y ASESORES DE GUAYAQUIL 2AG S.A.,GUAYAS,GUAYAQUIL
ilgadefinanciero@hotmail.com,Supercias ACTIVA con RUC,0990849862001,IMDILASA S. A.,GUAYAS,GUAYAQUIL
ilgagrosa@hotmail.com,Supercias ACTIVA con RUC,0992598344001,"ILGAGRO, IMPORTADORA Y COMERCIALIZADORA DE PRODUCTOS AGRICOLAS S.A.",GUAYAS,GUAYAQUIL
iliana.alava@construvita.com,Supercias ACTIVA con RUC,0991373233001,INMOBILIARIA CHORROHUAYCU CIA.LTDA.,GUAYAS,GUAYAQUIL
ilianaandradem@gmail.com,Supercias ACTIVA con RUC,0992621362001,MULTICOSTER S.A.,GUAYAS,GUAYAQUIL
illengiauditores@yahoo.com,Supercias ACTIVA con RUC,1792020689001,ILLENGI CIA. LTDA.,PICHINCHA,QUITO
ilonka_hol@hotmail.com,Supercias ACTIVA con RUC,0992815930001,TRAPEZIUM S.A.,GUAYAS,GUAYAQUIL
ilopez@sumesa.com.ec,Supercias ACTIVA con RUC,0991098038001,"JUANPA, JUAN PABLO GARCIA MIRANDA S.A.",GUAYAS,GUAYAQUIL
ilumel2010@hotmail.com,Supercias ACTIVA con RUC,0992641738001,ILUMEL S.A.,GUAYAS,GUAYAQUIL
imadyversa@outlook.es,Supercias ACTIVA con RUC,0992804823001,IMADYVERSA S.A.,GUAYAS,GUAYAQUIL
iman-1302@hotmail.com,Supercias ACTIVA con RUC,0990883718001,CONSULGRUPO S.A,GUAYAS,GUAYAQUIL
imantilla@magnetran.com.ec,Supercias ACTIVA con RUC,0992326263001,INTRANSFORMAN S.A.,GUAYAS,GUAYAQUIL
imar@imar-ec.com,Supercias ACTIVA con RUC,0990232156001,"IMAR, IMPORTACIONES AMERICANAS S.A.",GUAYAS,GUAYAQUIL
imarcillo@constructoravalero.com,Supercias ACTIVA con RUC,1791775430001,PUCOVI S.A. PUENTES CONSTRUCTORA VIAL,GUAYAS,GUAYAQUIL
imbensa@yahoo.com,Supercias ACTIVA con RUC,0992682396001,IMBENSA S.A.,GUAYAS,GUAYAQUIL
imbutolafsa@gmail.com,Supercias ACTIVA con RUC,0992842164001,MULTITRADING REYES S.A.,GUAYAS,GUAYAQUIL
imcadi@telconet.net,Supercias ACTIVA con RUC,0992658568001,IMCADI IMPORTACIONES CASTILLO DIAZ S.A.,GUAYAS,GUAYAQUIL
imcarvarsa@hotmail.com,Supercias ACTIVA con RUC,0992834455001,INGENIERA MONICA CARVAJAL AUMALA IMCARVARSA S.A.,GUAYAS,GUAYAQUIL
imchitown2005@hotmail.com,Supercias ACTIVA con RUC,0992485248001,IMPORTADORA CHINATOWN S.A. (IMCHITOWN),GUAYAS,GUAYAQUIL
imcol@gye.satnet.net,Supercias ACTIVA con RUC,0990001669001,IMPORTADORA COMERCIAL LOOR S.A.,GUAYAS,GUAYAQUIL
imdisgral@yahoo.com,Supercias ACTIVA con RUC,0992403233001,IMPORTACIONES Y DISTRIBUCIONES GENERALES IMDISGRAL S.A.,GUAYAS,GUAYAQUIL
imehispa@yahoo.com,Supercias ACTIVA con RUC,0990367655001,IMPORTADORA EXPORTADORA HISPANO IMEHISPA S.A.,GUAYAS,GUAYAQUIL
imejia@verdu.com.ec,Supercias ACTIVA con RUC,0992636947001,DONASITACORP S.A.,GUAYAS,GUAYAQUIL
imexcomsa@gmail.com,Supercias ACTIVA con RUC,0992429542001,IMPORTACIONES Y EXPORTACIONES COMERCIALES S.A. IMEXCOMSA,GUAYAS,GUAYAQUIL
imledexbor.sa@gmail.com,Supercias ACTIVA con RUC,0992765747001,LEDESMA BOHORQUEZ Y ASOCIADOS S.A. IMLEDEXBOR IMPORTACION Y EXPORTACION,GUAYAS,GUAYAQUIL
imorales@flexokore.com,Supercias ACTIVA con RUC,0990920427001,INMOBILIARIA ESNANDRE S. A.,GUAYAS,GUAYAQUIL
imorme@iclaro.com.ec,Supercias ACTIVA con RUC,0992342137001,''IMORME S.A.'',GUAYAS,GUAYAQUIL
imp.jinpeng.ec@gmail.com,Supercias ACTIVA con RUC,0992581107001,IMPORTADORA JIN PENG S.A.,GUAYAS,GUAYAQUIL
imp.mogen@gmail.com,Supercias ACTIVA con RUC,0992651210001,IMPORTADORA Y EXPORTADORA ''MOGEN'' S.A.,GUAYAS,GUAYAQUIL
imp.suhogar.ec@gmail.com,Supercias ACTIVA con RUC,0992675977001,IMPORTADORA SUHOGAR S.A.,GUAYAS,GUAYAQUIL
imp_neira@hotmail.com,Supercias ACTIVA con RUC,0990986266001,IMPORTADORA COMERCIAL NEIRA ESPINOZA S.A.,GUAYAS,GUAYAQUIL
impaim2005@hotmail.com,Supercias ACTIVA con RUC,0992402997001,IMPAIM CIA. LTDA.,GUAYAS,GUAYAQUIL
impattok@hotmail.com,Supercias ACTIVA con RUC,0992829524001,IMPATTOK S.A.,GUAYAS,GUAYAQUIL
impcruz@gye.satnet.net,Supercias ACTIVA con RUC,0990785635001,IMPORTCRUZ IMPORTADORA CRUZ Y ASOCIADOS SA,GUAYAS,GUAYAQUIL
impecal_sa@yahoo.com.ar,Supercias ACTIVA con RUC,0992335998001,IMPECAL S.A.,GUAYAS,GUAYAQUIL
imperial.vidrieria@gmail.com,Supercias ACTIVA con RUC,0992745347001,NOVAPLATINIUM S.A.,GUAYAS,ELOY ALFARO (DURAN)
imperioramos@hotmail.com,Supercias ACTIVA con RUC,0990414351001,TELECONSTRUCTORA S.A.,GUAYAS,GUAYAQUIL
implapetsa@gmail.com,Supercias ACTIVA con RUC,0992914718001,ALIMENTOS PARA MASCOTAS Y PRODUCTOS VETERINARIOS IMPORTADORA DE PRODUCTOS IMPLAPETSA S.A.,PICHINCHA,QUITO
implotexsa@yahoo.com,Supercias ACTIVA con RUC,0992548509001,IMPLOTEX S.A.,GUAYAS,GUAYAQUIL
impo_eguez@live.com,Supercias ACTIVA con RUC,0992596376001,IMPORTADORA C.EGUEZ IMPOEGUEZ S.A.,GUAYAS,GUAYAQUIL
impoand@yahoo.com,Supercias ACTIVA con RUC,0992227745001,IMPORTADORA ANDRADE S.A. IMPOAN,GUAYAS,GUAYAQUIL
impor_ben@hotmail.com,Supercias ACTIVA con RUC,0992535245001,IMPORBEN & MEJ S.A.,GUAYAS,GUAYAQUIL
impordycom@hotmail.com,Supercias ACTIVA con RUC,0992920947001,IMPORDYCOM S.A.,GUAYAS,GUAYAQUIL
imporguidsa@hotmail.com,Supercias ACTIVA con RUC,0992926716001,IMPORTADORA ELECTRONICA GUIDO S.A. IMPORGUIDSA,GUAYAS,GUAYAQUIL
imporimaqs.a@hotmail.com,Supercias ACTIVA con RUC,0992627913001,IMPORIMAQ S.A.,GUAYAS,GUAYAQUIL
imporkarelissa@hotmail.com,Supercias ACTIVA con RUC,0992661720001,IMPORKARELIS S.A.,GUAYAS,GUAYAQUIL
imporma@hotmail.com,Supercias ACTIVA con RUC,0991360514001,IMPORTADORA MALDONADO S.A. (IMPORTADORA M.A.),GUAYAS,GUAYAQUIL
imporsaga@iclaro.com.ec,Supercias ACTIVA con RUC,0992628294001,IMPORSAGA S.A.,GUAYAS,GUAYAQUIL
imporsucre@yahoo.es,Supercias ACTIVA con RUC,0990820848001,PAPELERIA SUCRE SA (PAPELSUC),GUAYAS,GUAYAQUIL
importaciones@masaca.com.ec,Supercias ACTIVA con RUC,0991439935001,MANUEL SALVATIERRA C.A.,GUAYAS,GUAYAQUIL
importaciones@tecnicentrochonillo.com,Supercias ACTIVA con RUC,0992908009001,CHONILLOTEC S.A.,GUAYAS,GUAYAQUIL
importaciones_sismed@yahoo.com,Supercias ACTIVA con RUC,0991518789001,SISMED S.A.,GUAYAS,GUAYAQUIL
importadora-escandon-sa@hotmail.com,Supercias ACTIVA con RUC,0992598212001,IMPORTADORA ESCANDON S.A. IMPORESCANDON,GUAYAS,GUAYAQUIL
importadora_alvarado@hotmail.com,Supercias ACTIVA con RUC,0992683848001,IMPORTALVARADO S.A.,GUAYAS,GUAYAQUIL
importadora_ansor@hotmail.com,Supercias ACTIVA con RUC,0991349553001,IMPORTADORA ANDRADE SORIA ANSOR S.A.,GUAYAS,GUAYAQUIL
importadoraautomotrizjrsa@hotmail.com,Supercias ACTIVA con RUC,0992680237001,EL REY DEL EMBRAGUE S.A. EMBRAGUESA,GUAYAS,GUAYAQUIL
importadorabyblos@gmail.com,Supercias ACTIVA con RUC,0990571295001,IMPORTADORA BYBLOS C LTDA,GUAYAS,GUAYAQUIL
importadoralarmecet@hotmail.com,Supercias ACTIVA con RUC,0992767324001,LARMECET S.A.,GUAYAS,GUAYAQUIL
importadoramundiofertas@gmail.com,Supercias ACTIVA con RUC,0992859830001,IMPORTADORA MUNDIOFERTAS S.A.,GUAYAS,GUAYAQUIL
importadorapincay@gmail.com,Supercias ACTIVA con RUC,0992664746001,KASIOS S.A.,GUAYAS,GUAYAQUIL
importadorapratt@unico.com.ec,Supercias ACTIVA con RUC,0992510617001,IMPORTADORA PRATT S.A. IMPORTPRATT,GUAYAS,GUAYAQUIL
importmosq@hotmail.com,Supercias ACTIVA con RUC,0992872586001,IMPORTADORA AUTOMOTRIZ MOSQUERA IMPORTPARTS S.A.,GUAYAS,GUAYAQUIL
importoscar@gmail.com,Supercias ACTIVA con RUC,0992922303001,IMPORT-OSCAR S.A.,GUAYAS,GUAYAQUIL
importpagsa@hotmail.com,Supercias ACTIVA con RUC,0991344918001,IMPORTADORA PAG S.A.,GUAYAS,GUAYAQUIL
importquimica@hotmail.com,Supercias ACTIVA con RUC,0991154442001,IMPORTQUIMICA S.A.,GUAYAS,GUAYAQUIL
importvisionsa@hotmail.com,Supercias ACTIVA con RUC,0992558784001,IMPORTVISION S.A.,GUAYAS,GUAYAQUIL
imporvipsa@yahoo.com,Supercias ACTIVA con RUC,0992364513001,IMPORVIPCORP S.A.,GUAYAS,GUAYAQUIL
imporzeta@gmail.com,Supercias ACTIVA con RUC,0992718277001,IMPORZETA S.A.,GUAYAS,GUAYAQUIL
improquimsaventas@yahoo.com,Supercias ACTIVA con RUC,0992785764001,INDUSTRIA QUIMICA ECUATORIANA S.A. IQSA,GUAYAS,GUAYAQUIL
impucomp@hotmail.com,Supercias ACTIVA con RUC,0992804041001,TRANSVELIMAR S.A.,GUAYAS,GUAYAQUIL
impuestos81@gmail.com,Supercias ACTIVA con RUC,0990282668001,INMOBILIARIA ZEUS SA,GUAYAS,GUAYAQUIL
impuestos@agroaereo.com,Supercias ACTIVA con RUC,0992326506001,AMIGACOMPANY S.A.,GUAYAS,GUAYAQUIL
impuestos@hilantex.com,Supercias ACTIVA con RUC,0991322876001,XELCOM S.A.,GUAYAS,GUAYAQUIL
impuestossri@hotmail.com,Supercias ACTIVA con RUC,0992781491001,LAXTRADESTAR S.A.,GUAYAS,GUAYAQUIL
impzamoca04@yahoo.es,Supercias ACTIVA con RUC,0990897794001,IMPORTADORA ALFREDO ZAMBRANO MORAN C.A ZAMOCA,GUAYAS,GUAYAQUIL
imrelevsa@velasco.com.ec,Supercias ACTIVA con RUC,0992440694001,IMRELEVSA IMPORTADORA DE REPUESTOS ELECTRONICOS VELASCO S.A.,GUAYAS,GUAYAQUIL
imsa@alpeca.com.ec,Supercias ACTIVA con RUC,0992115173001,INMOBILIARIA MERCEDES SA IMSA,GUAYAS,GUAYAQUIL
inarma@hotmail.com,Supercias ACTIVA con RUC,0992853905001,SCHEDIO MANAGEMENT IT S.A,GUAYAS,GUAYAQUIL
inarromesa@hotmail.es,Supercias ACTIVA con RUC,0992314184001,INARROMESA S.A.,GUAYAS,ELOY ALFARO (DURAN)
inasotec@outlook.es,Supercias ACTIVA con RUC,0992885017001,INASOTEC S.A.,GUAYAS,GUAYAQUIL
inborja@inborja.com.ec,Supercias ACTIVA con RUC,0790060288001,INDUSTRIAS BORJA INBORJA SA,EL ORO,EL GUABO
incalsid@hotmail.com,Supercias ACTIVA con RUC,1891734715001,INCALSID CIA. LTDA.,TUNGURAHUA,TISALEO
incastilla@hotmail.com,Supercias ACTIVA con RUC,0992857994001,ECUMORELLA S.A.,GUAYAS,GUAYAQUIL
inclus@hotmail.es,Supercias ACTIVA con RUC,0992333219001,INCLUS S.A.,GUAYAS,GUAYAQUIL
incomvisa@hotmail.com,Supercias ACTIVA con RUC,0990595968001,COMERCIAL VIVERO INCOMVISA S.A.,GUAYAS,GUAYAQUIL
incopes@iclaro.com.ec,Supercias ACTIVA con RUC,0990951187001,INMOBILIARIA PORFIDO ANDALUZ PORFASA C.A.,GUAYAS,GUAYAQUIL
increcorp@terra.com,Supercias ACTIVA con RUC,0992361735001,INCRECORP S.A.,GUAYAS,GUAYAQUIL
incurretrans@hotmail.com,Supercias ACTIVA con RUC,0992809914001,INCURRETRANS S.A.,GUAYAS,GUAYAQUIL
indami.cia.ltda@gmail.com,Supercias ACTIVA con RUC,0992606010001,INDUSTRIA AGROPECUARIA MINERA INDAMI CIA. LTDA.,GUAYAS,GUAYAQUIL
indeconstruye@hotmail.com,Supercias ACTIVA con RUC,0992454091001,GARANTIPOWER S.A.,GUAYAS,GUAYAQUIL
indelcon@hotmail.com,Supercias ACTIVA con RUC,0991303804001,INDELCONS S.A.,GUAYAS,GUAYAQUIL
indetel@crtv.com.ec,Supercias ACTIVA con RUC,0991296433001,TELEVISION INDEPENDIENTE INDETEL S.A.,GUAYAS,GUAYAQUIL
indfer_28@hotmail.es,Supercias ACTIVA con RUC,0992886676001,DISTRIBUIDORA FARMACEUTICA INDFER S.A.,GUAYAS,GUAYAQUIL
indira_2018@hotmail.com,Supercias ACTIVA con RUC,0992855177001,COMPAÑÍA ESHECLABRI S.A. CLABRISA,GUAYAS,ELOY ALFARO (DURAN)
indomaconstructores@hotmail.com,Supercias ACTIVA con RUC,0992270845001,INDOMAC S.A.,PICHINCHA,QUITO
induaire_sa@yahoo.es,Supercias ACTIVA con RUC,0991254110001,INDUAIRE S.A.,GUAYAS,GUAYAQUIL
indubarza@hotmail.com,Supercias ACTIVA con RUC,0992502819001,INDUBARZA S.A.,GUAYAS,GUAYAQUIL
indugem@andinanet.net,Supercias ACTIVA con RUC,0992207892001,INDUSTRIAL GEMINIS INDUGEM S.A.,GUAYAS,GUAYAQUIL
indumarmol1902@hotmail.com,Supercias ACTIVA con RUC,0992900741001,INDUMARMOL S.A.,GUAYAS,GUAYAQUIL
indusco2006@yahoo.com,Supercias ACTIVA con RUC,0992539739001,PRIMEWORK S.A.,GUAYAS,SAMBORONDÓN
indusdealsa@gmail.com,Supercias ACTIVA con RUC,0992914602001,ASESORES E IMPORTADORES DE MATERIALES INDUSTRIALES INDUSDEAL S. A.,GUAYAS,GUAYAQUIL
industexcua@gmail.com,Supercias ACTIVA con RUC,0992879629001,INDUSTRIAL TEXTIL ECUATORIANO INDUSTEXCUA CIA.LTDA.,GUAYAS,GUAYAQUIL
industria.latina@yahoo.es,Supercias ACTIVA con RUC,0992475730001,INDUSTRIAL LATINA S.A. LAINDUSA,GUAYAS,GUAYAQUIL
industrialnorket@hotmail.com,Supercias ACTIVA con RUC,0990781176001,INDUSTRIAL NORKET CIA LTDA,GUAYAS,GUAYAQUIL
induverika@gye.satnet.net,Supercias ACTIVA con RUC,0992206551001,INDUVERIKA S.A.,GUAYAS,GUAYAQUIL
induvis_ecuador@hotmail.com,Supercias ACTIVA con RUC,0992354690001,INDUVIS COMPAÑIA INDUSTRIAL DEL ECUADOR S.A.,GUAYAS,ELOY ALFARO (DURAN)
ineca@gye.satnet.net,Supercias ACTIVA con RUC,0992902280001,ECUMAFEPA CONSTRUCCIONES S.A.,GUAYAS,GUAYAQUIL
inefil@hotmail.com,Supercias ACTIVA con RUC,0992238046001,"INEFIL, INDUSTRIA ECUATORIANA DE FILTROS S.A.",GUAYAS,GUAYAQUIL
inem@inemca.com,Supercias ACTIVA con RUC,0990159998001,INDUSTRIA ECUATORIANA METAL MECANICA INEM CA,GUAYAS,GUAYAQUIL
inemoquil@telconet.net,Supercias ACTIVA con RUC,0990606900001,INSTITUTO EDUCATIVO MODERNO DE GUAYAQUIL INEMOQUIL C LTDA,GUAYAS,SAMBORONDÓN
ines-leo20@hotmail.com,Supercias ACTIVA con RUC,0992525037001,GLOBALIMPORT S.A.,GUAYAS,GUAYAQUIL
ines.1977@hotmail.com,Supercias ACTIVA con RUC,0992474777001,JANCYKS S.A.,GUAYAS,GUAYAQUIL
inesarevalo@yahoo.es,Supercias ACTIVA con RUC,0992856092001,COMPAÑIA DE TRANSPORTE S.A. SENITRANS,GUAYAS,GUAYAQUIL
inesborja@leyyorden.com.ec,Supercias ACTIVA con RUC,0992863145001,LEY & ORDEN S.A. LEYORDSA,GUAYAS,GUAYAQUIL
inesborja@rgortiz.com,Supercias ACTIVA con RUC,0992299932001,R.G. ORTIZ & COMPAÑIA S.A.,GUAYAS,GUAYAQUIL
infacorauto@hotmail.com,Supercias ACTIVA con RUC,0992748397001,INFACORAUTO S.A.,EL ORO,HUAQUILLAS
infante06@hotmail.com,Supercias ACTIVA con RUC,0992548886001,QUASARCORP S.A.,GUAYAS,GUAYAQUIL
inficres@yahoo.com,Supercias ACTIVA con RUC,0992112042001,INFICRES S.A.,GUAYAS,GUAYAQUIL
infinegoc@gmail.com,Supercias ACTIVA con RUC,0992840609001,GONMAFRUTI S.A.,GUAYAS,GUAYAQUIL
info.carbononeutral@gmail.com,Supercias ACTIVA con RUC,0992636505001,CARBONO NEUTRAL CIA. LTDA. NEUCARB,GUAYAS,GUAYAQUIL
info.equistock@yahoo.com,Supercias ACTIVA con RUC,0992857676001,EQUIPOS & SUMINISTROS EN STOCK S.A. EQUISTOCK,GUAYAS,GUAYAQUIL
info.tecnoagil@gmail.com,Supercias ACTIVA con RUC,0992811285001,TECNOAGIL S.A.,GUAYAS,GUAYAQUIL
info.velesa@gmail.com,Supercias ACTIVA con RUC,0992215313001,ELENTEL S.A.,GUAYAS,GUAYAQUIL
info@abastecimientoecuador.com,Supercias ACTIVA con RUC,0992933836001,CONSULTORA DE ABASTECIMIENTO CONSULABAST S.A.,GUAYAS,GUAYAQUIL
info@acas.com,Supercias ACTIVA con RUC,0993374421001,ASESORES EN SERVICIOS DE AUDITORIA Y CONSULTORIA ACAS S.A.S.,GUAYAS,GUAYAQUIL
info@acerimallas.com.ec,Supercias ACTIVA con RUC,0992339594001,ACERIMALLAS S.A.,GUAYAS,GUAYAQUIL
info@acqbusiness.com,Supercias ACTIVA con RUC,0190470296001,ACQ BUSINESS CIA.LTDA.,AZUAY,CUENCA
info@adema.ec,Supercias ACTIVA con RUC,1792878209001,''ADEMACONSULTING'' AUDITORES & CONSULTORES S.A.,PICHINCHA,QUITO
info@adisol.com.ec,Supercias ACTIVA con RUC,0990863121001,ADISOL CIA.LTDA.,GUAYAS,GUAYAQUIL
info@advfinsa.com,Supercias ACTIVA con RUC,0991296468001,CASA DE VALORES ADVFIN S.A.,GUAYAS,GUAYAQUIL
info@agenciagl.com,Supercias ACTIVA con RUC,0992866993001,G & L PUBLICIDAD S.A. GLADV,GUAYAS,GUAYAQUIL
info@agroproduzca.com.ec,Supercias ACTIVA con RUC,0991300848001,"AGRICOLA ULLOA, AGRULLOA S.A.",GUAYAS,GUAYAQUIL
info@alejaconsul.com,Supercias ACTIVA con RUC,0992768002001,"GEOLOGIA, HORMIGONES Y CONSULTORIA ALEJANDRO CIA. LTDA. ALEJACONSUL",GUAYAS,GUAYAQUIL
info@alfombrasrocari.com,Supercias ACTIVA con RUC,0991276734001,ROCARI S.A.,GUAYAS,GUAYAQUIL
info@altacecuador.com,Supercias ACTIVA con RUC,1792187664001,MERIDIANA MERIDIANAUDIT CIA.LTDA.,PICHINCHA,QUITO
info@alvarezhurtado.com,Supercias ACTIVA con RUC,1792245117001,CONSULTORA ALVAREZ HURTADO CIA. LTDA.,PICHINCHA,QUITO
info@apci-aliboc.com,Supercias ACTIVA con RUC,0992262516001,ALIBOC S.A.,GUAYAS,GUAYAQUIL
info@arcentales.com,Supercias ACTIVA con RUC,0990750408001,INMOPLATA CA,GUAYAS,GUAYAQUIL
info@arrocesa.com,Supercias ACTIVA con RUC,0992747145001,INMOBILICESA S.A.,GUAYAS,SAN JACINTO DE YAGUACHI
info@artinegocios.com,Supercias ACTIVA con RUC,0992331550001,ARTINEGOCIOS S.A.,GUAYAS,GUAYAQUIL
